loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),
26:50.5,11424,232905,-0.109924316,0.983917236,0.127655029,standing
26:50.5,11425,232905.01,-0.110092163,0.985061646,0.129089355,standing
26:50.6,11426,232905.02,-0.110702515,0.986343384,0.130523682,standing
26:50.6,11427,232905.0301,-0.112701416,0.985733032,0.131439209,standing
26:50.6,11428,232905.0401,-0.113296509,0.985214233,0.130462646,standing
26:50.6,11429,232905.0501,-0.112457275,0.98576355,0.128173828,standing
26:50.6,11430,232905.0602,-0.110916138,0.987426758,0.124801636,standing
26:50.6,11431,232905.0702,-0.10925293,0.987762451,0.119903564,standing
26:50.6,11432,232905.0802,-0.108505249,0.989151001,0.116867065,standing
26:50.6,11433,232905.0902,-0.107330322,0.989318848,0.116592407,standing
26:50.6,11434,232905.1003,-0.107589722,0.989898682,0.116775513,standing
26:50.6,11435,232905.1103,-0.10848999,0.989028931,0.116439819,standing
26:50.7,11436,232905.1203,-0.109466553,0.989196777,0.117553711,standing
26:50.7,11437,232905.1304,-0.112228394,0.990829468,0.118942261,standing
26:50.7,11438,232905.1404,-0.114959717,0.991317749,0.12159729,standing
26:50.7,11439,232905.1504,-0.116439819,0.991699219,0.124069214,standing
26:50.7,11440,232905.1604,-0.116699219,0.990356445,0.124465942,standing
26:50.7,11441,232905.1705,-0.116653442,0.98777771,0.125915527,standing
26:50.7,11442,232905.1805,-0.117858887,0.985061646,0.125579834,standing
26:50.7,11443,232905.1905,-0.117141724,0.983963013,0.123550415,standing
26:50.7,11444,232905.2006,-0.115982056,0.984375,0.123748779,standing
26:50.7,11445,232905.2106,-0.114807129,0.98500061,0.124710083,standing
26:50.8,11446,232905.2206,-0.114242554,0.98425293,0.125656128,standing
26:50.8,11447,232905.2306,-0.114028931,0.984603882,0.126464844,standing
26:50.8,11448,232905.2407,-0.112670898,0.983459473,0.128036499,standing
26:50.8,11449,232905.2507,-0.113861084,0.981292725,0.129211426,standing
26:50.8,11450,232905.2607,-0.115371704,0.979309082,0.128128052,standing
26:50.8,11451,232905.2707,-0.116104126,0.978210449,0.12802124,standing
26:50.8,11452,232905.2808,-0.116653442,0.979110718,0.126663208,standing
26:50.8,11453,232905.2908,-0.116470337,0.981185913,0.127655029,standing
26:50.8,11454,232905.3008,-0.115661621,0.981948853,0.125762939,standing
26:50.8,11455,232905.3109,-0.115524292,0.983444214,0.123855591,standing
26:50.9,11456,232905.3209,-0.114562988,0.985305786,0.122467041,standing
26:50.9,11457,232905.3309,-0.114227295,0.986038208,0.1222229,standing
26:50.9,11458,232905.3409,-0.114990234,0.987228394,0.122024536,standing
26:50.9,11459,232905.351,-0.114685059,0.987350464,0.120376587,standing
26:50.9,11460,232905.361,-0.114028931,0.987930298,0.119064331,standing
26:50.9,11461,232905.371,-0.114151001,0.989898682,0.119766235,standing
26:50.9,11462,232905.3811,-0.114089966,0.991531372,0.121582031,standing
26:50.9,11463,232905.3911,-0.113647461,0.990188599,0.122329712,standing
26:50.9,11464,232905.4011,-0.114379883,0.987747192,0.123794556,standing
26:50.9,11465,232905.4111,-0.116592407,0.986495972,0.124557495,standing
26:51.0,11466,232905.4212,-0.118804932,0.986343384,0.12348938,standing
26:51.0,11467,232905.4312,-0.121261597,0.985794067,0.124664307,standing
26:51.0,11468,232905.4412,-0.123458862,0.985168457,0.125701904,standing
26:51.0,11469,232905.4513,-0.126052856,0.985061646,0.126327515,standing
26:51.0,11470,232905.4613,-0.128662109,0.98526001,0.127120972,standing
26:51.0,11471,232905.4713,-0.130523682,0.984039307,0.128158569,standing
26:51.0,11472,232905.4813,-0.129455566,0.982528687,0.1275177,standing
26:51.0,11473,232905.4914,-0.128356934,0.982437134,0.127487183,standing
26:51.0,11474,232905.5014,-0.12663269,0.982543945,0.127426147,standing
26:51.0,11475,232905.5114,-0.123718262,0.983123779,0.125808716,standing
26:51.1,11476,232905.5214,-0.122055054,0.985427856,0.123886108,standing
26:51.1,11477,232905.5315,-0.122116089,0.986022949,0.123550415,standing
26:51.1,11478,232905.5415,-0.119888306,0.987197876,0.123413086,standing
26:51.1,11479,232905.5515,-0.118179321,0.986343384,0.122833252,standing
26:51.1,11480,232905.5616,-0.11895752,0.983963013,0.122924805,standing
26:51.1,11481,232905.5716,-0.119415283,0.981170654,0.121490479,standing
26:51.1,11482,232905.5816,-0.119369507,0.981613159,0.120574951,standing
26:51.1,11483,232905.5916,-0.118789673,0.983474731,0.120315552,standing
26:51.1,11484,232905.6017,-0.117858887,0.986419678,0.119155884,standing
26:51.1,11485,232905.6117,-0.118713379,0.987106323,0.12008667,standing
26:51.2,11486,232905.6217,-0.116897583,0.986968994,0.120056152,standing
26:51.2,11487,232905.6318,-0.113998413,0.98614502,0.119400024,standing
26:51.2,11488,232905.6418,-0.112579346,0.984924316,0.117431641,standing
26:51.2,11489,232905.6518,-0.110473633,0.985961914,0.116729736,standing
26:51.2,11490,232905.6618,-0.110015869,0.985870361,0.116287231,standing
26:51.2,11491,232905.6719,-0.110534668,0.986633301,0.11390686,standing
26:51.2,11492,232905.6819,-0.111297607,0.987243652,0.113296509,standing
26:51.2,11493,232905.6919,-0.11277771,0.988143921,0.114181519,standing
26:51.2,11494,232905.702,-0.114105225,0.987335205,0.116378784,standing
26:51.2,11495,232905.712,-0.115036011,0.986038208,0.116760254,standing
26:51.3,11496,232905.722,-0.114974976,0.986358643,0.117660522,standing
26:51.3,11497,232905.732,-0.115325928,0.986236572,0.118606567,standing
26:51.3,11498,232905.7421,-0.116012573,0.985366821,0.118118286,standing
26:51.3,11499,232905.7521,-0.116195679,0.986175537,0.117233276,standing
26:51.3,11500,232905.7621,-0.117767334,0.987030029,0.116439819,standing
26:51.3,11501,232905.7721,-0.11769104,0.988616943,0.117233276,standing
26:51.3,11502,232905.7822,-0.118484497,0.988357544,0.116928101,standing
26:51.3,11503,232905.7922,-0.1171875,0.986053467,0.116409302,standing
26:51.3,11504,232905.8022,-0.116073608,0.986282349,0.116378784,standing
26:51.3,11505,232905.8123,-0.11505127,0.98550415,0.116317749,standing
26:51.4,11506,232905.8223,-0.114074707,0.984313965,0.116027832,standing
26:51.4,11507,232905.8323,-0.113418579,0.984100342,0.116119385,standing
26:51.4,11508,232905.8423,-0.112472534,0.985031128,0.115447998,standing
26:51.4,11509,232905.8524,-0.112945557,0.985305786,0.115661621,standing
26:51.4,11510,232905.8624,-0.112991333,0.986419678,0.115631104,standing
26:51.4,11511,232905.8724,-0.112411499,0.988174438,0.115905762,standing
26:51.4,11512,232905.8825,-0.110534668,0.987884521,0.115493774,standing
26:51.4,11513,232905.8925,-0.109329224,0.986373901,0.114822388,standing
26:51.4,11514,232905.9025,-0.107879639,0.985702515,0.114440918,standing
26:51.4,11515,232905.9125,-0.107833862,0.986160278,0.1146698,standing
26:51.5,11516,232905.9226,-0.107894897,0.986572266,0.11378479,standing
26:51.5,11517,232905.9326,-0.10836792,0.987609863,0.114959717,standing
26:51.5,11518,232905.9426,-0.108566284,0.987030029,0.114852905,standing
26:51.5,11519,232905.9527,-0.108215332,0.9868927,0.115722656,standing
26:51.5,11520,232905.9627,-0.108383179,0.985183716,0.116668701,standing
26:51.5,11521,232905.9727,-0.108398438,0.984832764,0.11555481,standing
26:51.5,11522,232905.9827,-0.108917236,0.985946655,0.114395142,standing
26:51.5,11523,232905.9928,-0.109130859,0.986221313,0.114547729,standing
26:51.5,11524,232906.0028,-0.109085083,0.985366821,0.112945557,standing
26:51.5,11525,232906.0128,-0.111297607,0.987304688,0.115646362,standing
26:51.6,11526,232906.0228,-0.111526489,0.986785889,0.113464355,standing
26:51.6,11527,232906.0329,-0.111206055,0.985931396,0.116134644,standing
26:51.6,11528,232906.0429,-0.114257813,0.985778809,0.118713379,standing
26:51.6,11529,232906.0529,-0.113769531,0.986068726,0.118789673,standing
26:51.6,11530,232906.063,-0.113723755,0.98614502,0.119598389,standing
26:51.6,11531,232906.073,-0.113677979,0.986846924,0.120285034,standing
26:51.6,11532,232906.083,-0.11289978,0.986663818,0.120193481,standing
26:51.6,11533,232906.093,-0.111236572,0.986480713,0.118942261,standing
26:51.6,11534,232906.1031,-0.109649658,0.985946655,0.115829468,standing
26:51.6,11535,232906.1131,-0.107620239,0.986114502,0.11567688,standing
26:51.7,11536,232906.1231,-0.106536865,0.985580444,0.115707397,standing
26:51.7,11537,232906.1332,-0.105987549,0.98651123,0.113983154,standing
26:51.7,11538,232906.1432,-0.106735229,0.986694336,0.112762451,standing
26:51.7,11539,232906.1532,-0.10647583,0.987304688,0.112060547,standing
26:51.7,11540,232906.1632,-0.105529785,0.987228394,0.11315918,standing
26:51.7,11541,232906.1733,-0.105621338,0.987121582,0.116027832,standing
26:51.7,11542,232906.1833,-0.105667114,0.987030029,0.115615845,standing
26:51.7,11543,232906.1933,-0.106796265,0.988418579,0.115661621,standing
26:51.7,11544,232906.2034,-0.108123779,0.987869263,0.115280151,standing
26:51.7,11545,232906.2134,-0.109085083,0.986343384,0.115325928,standing
26:51.8,11546,232906.2234,-0.109329224,0.98500061,0.115325928,standing
26:51.8,11547,232906.2334,-0.108016968,0.984298706,0.115127563,standing
26:51.8,11548,232906.2435,-0.108276367,0.986694336,0.113952637,standing
26:51.8,11549,232906.2535,-0.106994629,0.989074707,0.11340332,standing
26:51.8,11550,232906.2635,-0.105255127,0.988677979,0.113723755,standing
26:51.8,11551,232906.2735,-0.105010986,0.98651123,0.113235474,standing
26:51.8,11552,232906.2836,-0.104202271,0.984222412,0.114257813,standing
26:51.8,11553,232906.2936,-0.103942871,0.985015869,0.114898682,standing
26:51.8,11554,232906.3036,-0.105834961,0.987716675,0.114227295,standing
26:51.8,11555,232906.3137,-0.107818604,0.990478516,0.11328125,standing
26:51.9,11556,232906.3237,-0.110549927,0.992126465,0.116210938,standing
26:51.9,11557,232906.3337,-0.110687256,0.991622925,0.11706543,standing
26:51.9,11558,232906.3437,-0.112426758,0.988235474,0.117706299,standing
26:51.9,11559,232906.3538,-0.111602783,0.985046387,0.117126465,standing
26:51.9,11560,232906.3638,-0.113128662,0.984817505,0.116485596,standing
26:51.9,11561,232906.3738,-0.114440918,0.985321045,0.116104126,standing
26:51.9,11562,232906.3839,-0.114822388,0.986419678,0.116622925,standing
26:51.9,11563,232906.3939,-0.114578247,0.987564087,0.117736816,standing
26:51.9,11564,232906.4039,-0.114364624,0.986404419,0.117446899,standing
26:51.9,11565,232906.4139,-0.112884521,0.982879639,0.117538452,standing
26:52.0,11566,232906.424,-0.111526489,0.982955933,0.117965698,standing
26:52.0,11567,232906.434,-0.109802246,0.983184814,0.11932373,standing
26:52.0,11568,232906.444,-0.109741211,0.98387146,0.11958313,standing
26:52.0,11569,232906.4541,-0.109237671,0.98374939,0.119094849,standing
26:52.0,11570,232906.4641,-0.108154297,0.985076904,0.118621826,standing
26:52.0,11571,232906.4741,-0.108413696,0.985946655,0.116607666,standing
26:52.0,11572,232906.4841,-0.109512329,0.987487793,0.116134644,standing
26:52.0,11573,232906.4942,-0.109954834,0.989547729,0.117034912,standing
26:52.0,11574,232906.5042,-0.110473633,0.990127563,0.117767334,standing
26:52.0,11575,232906.5142,-0.10987854,0.990234375,0.118164063,standing
26:52.1,11576,232906.5242,-0.111251831,0.988357544,0.117675781,standing
26:52.1,11577,232906.5343,-0.111679077,0.987228394,0.11819458,standing
26:52.1,11578,232906.5443,-0.110641479,0.987304688,0.116027832,standing
26:52.1,11579,232906.5543,-0.109695435,0.988540649,0.11416626,standing
26:52.1,11580,232906.5644,-0.108886719,0.988037109,0.111877441,standing
26:52.1,11581,232906.5744,-0.108596802,0.987365723,0.113128662,standing
26:52.1,11582,232906.5844,-0.107971191,0.986679077,0.113174438,standing
26:52.1,11583,232906.5944,-0.10848999,0.985717773,0.11378479,standing
26:52.1,11584,232906.6045,-0.107818604,0.984146118,0.114135742,standing
26:52.2,11585,232906.6145,-0.108901978,0.983718872,0.113113403,standing
26:52.2,11586,232906.6245,-0.108566284,0.984634399,0.112365723,standing
