loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
19:30.1,475,232464.5839,0.814620972,1.470108032,-0.149658203,walking
19:30.1,476,232464.5939,0.741897583,1.662017822,0.082550049,walking
19:30.1,477,232464.6039,0.617874146,1.693756104,0.062850952,walking
19:30.2,478,232464.614,0.420806885,1.556304932,-0.146621704,walking
19:30.2,479,232464.624,0.200378418,1.165802002,-0.190673828,walking
19:30.2,480,232464.634,0.164352417,0.699859619,-0.144561768,walking
19:30.2,481,232464.644,0.106033325,0.41734314,-0.102767944,walking
19:30.2,482,232464.6541,0.012008667,0.352539063,0.078842163,walking
19:30.2,483,232464.6641,0.027679443,0.390533447,0.274627686,walking
19:30.2,484,232464.6741,0.179122925,0.47265625,0.518569946,walking
19:30.2,485,232464.6842,0.393508911,0.667892456,0.599151611,walking
19:30.2,486,232464.6942,0.585983276,0.900817871,0.544494629,walking
19:30.2,487,232464.7042,0.734832764,1.12272644,0.421157837,walking
19:30.3,488,232464.7142,0.861251831,1.205993652,0.241043091,walking
19:30.3,489,232464.7243,0.955200195,1.162963867,0.040924072,walking
19:30.3,490,232464.7343,0.977523804,1.067077637,-0.146240234,walking
19:30.3,491,232464.7443,0.838378906,0.9559021,-0.31477356,walking
19:30.3,492,232464.7543,0.619857788,0.914031982,-0.390274048,walking
19:30.3,493,232464.7644,0.446426392,0.902114868,-0.318710327,walking
19:30.3,494,232464.7744,0.342315674,0.906890869,-0.099258423,walking
19:30.3,495,232464.7844,0.255462646,0.889175415,0.105010986,walking
19:30.3,496,232464.7945,0.209823608,0.8621521,0.191497803,walking
19:30.3,497,232464.8045,0.198959351,0.829971313,0.181472778,walking
19:30.4,498,232464.8145,0.226547241,0.793701172,0.172912598,walking
19:30.4,499,232464.8245,0.331283569,0.741821289,0.145584106,walking
19:30.4,500,232464.8346,0.420379639,0.717025757,0.111831665,walking
19:30.4,501,232464.8446,0.51222229,0.724822998,0.079299927,walking
19:30.4,502,232464.8546,0.579696655,0.733673096,0.069656372,walking
19:30.4,503,232464.8646,0.619049072,0.735397339,0.058044434,walking
19:30.4,504,232464.8747,0.627655029,0.725082397,0.035247803,walking
19:30.4,505,232464.8847,0.621734619,0.708312988,0.0131073,walking
19:30.4,506,232464.8947,0.604156494,0.682006836,-0.002349854,walking
19:30.4,507,232464.9048,0.581130981,0.663925171,-0.020767212,walking
19:30.5,508,232464.9148,0.567123413,0.666885376,-0.040008545,walking
19:30.5,509,232464.9248,0.570220947,0.671234131,-0.038528442,walking
19:30.5,510,232464.9348,0.578704834,0.673080444,-0.037002563,walking
19:30.5,511,232464.9449,0.590667725,0.678039551,-0.040924072,walking
19:30.5,512,232464.9549,0.604660034,0.690048218,-0.040161133,walking
19:30.5,513,232464.9649,0.610534668,0.698135376,-0.054641724,walking
19:30.5,514,232464.975,0.623580933,0.701766968,-0.084823608,walking
19:30.5,515,232464.985,0.63470459,0.707931519,-0.108612061,walking
19:30.5,516,232464.995,0.63621521,0.730651855,-0.092773438,walking
19:30.5,517,232465.005,0.639144897,0.755157471,-0.084060669,walking
19:30.6,518,232465.0151,0.640014648,0.779327393,-0.022415161,walking
19:30.6,519,232465.0251,0.647369385,0.831893921,0.016204834,walking
19:30.6,520,232465.0351,0.658996582,0.878372192,0.036651611,walking
19:30.6,521,232465.0451,0.670028687,0.883728027,0.007873535,walking
19:30.6,522,232465.0552,0.674362183,0.872024536,-0.035110474,walking
19:30.6,523,232465.0652,0.664428711,0.858520508,-0.061141968,walking
19:30.6,524,232465.0752,0.645858765,0.862579346,-0.054321289,walking
19:30.6,525,232465.0853,0.637115479,0.880020142,-0.016235352,walking
19:30.6,526,232465.0953,0.642211914,0.894302368,0.00668335,walking
19:30.6,527,232465.1053,0.656600952,0.893508911,0.002166748,walking
19:30.7,528,232465.1153,0.687149048,0.879714966,0.017868042,walking
19:30.7,529,232465.1254,0.714157104,0.877609253,0.027114868,walking
19:30.7,530,232465.1354,0.741394043,0.903411865,0.014480591,walking
19:30.7,531,232465.1454,0.766189575,0.955352783,0.023086548,walking
19:30.7,532,232465.1554,0.758956909,1.020050049,0.048065186,walking
19:30.7,533,232465.1655,0.739471436,1.093429565,0.069900513,walking
19:30.7,534,232465.1755,0.706924438,1.116409302,0.110412598,walking
19:30.7,535,232465.1855,0.666595459,1.069946289,0.160049438,walking
19:30.7,536,232465.1956,0.640594482,0.994766235,0.203552246,walking
19:30.7,537,232465.2056,0.641815186,0.929580688,0.183486938,walking
19:30.8,538,232465.2156,0.637481689,0.900314331,0.145401001,walking
19:30.8,539,232465.2256,0.546585083,0.890808105,0.106918335,walking
19:30.8,540,232465.2357,0.400115967,0.933166504,0.093612671,walking
19:30.8,541,232465.2457,0.272247314,1.004211426,0.132354736,walking
19:30.8,542,232465.2557,0.224380493,1.220657349,0.209518433,walking
19:30.8,543,232465.2658,0.205993652,1.345062256,0.219680786,walking
19:30.8,544,232465.2758,0.173797607,1.447509766,0.187286377,walking
19:30.8,545,232465.2858,0.129455566,1.442489624,0.18371582,walking
19:30.8,546,232465.2958,0.223526001,1.330825806,0.172058105,walking
19:30.8,547,232465.3059,0.4296875,1.195892334,0.117523193,walking
19:30.9,548,232465.3159,0.5753479,1.079421997,0.0418396,walking
19:30.9,549,232465.3259,0.639953613,1.003570557,-0.034744263,walking
19:30.9,550,232465.3359,0.692504883,0.969970703,-0.118377686,walking
19:30.9,551,232465.346,0.720779419,0.947128296,-0.189071655,walking
19:30.9,552,232465.356,0.721359253,0.895446777,-0.214447021,walking
19:30.9,553,232465.366,0.703811646,0.851165771,-0.298782349,walking
19:30.9,554,232465.3761,0.657089233,0.820739746,-0.320449829,walking
19:30.9,555,232465.3861,0.601577759,0.781494141,-0.335830688,walking
19:30.9,556,232465.3961,0.560821533,0.741638184,-0.380401611,walking
19:30.9,557,232465.4061,0.512664795,0.698638916,-0.343902588,walking
19:31.0,558,232465.4162,0.468460083,0.647857666,-0.281173706,walking
19:31.0,559,232465.4262,0.432876587,0.634567261,-0.252883911,walking
19:31.0,560,232465.4362,0.396972656,0.634552002,-0.225601196,walking
19:31.0,561,232465.4462,0.355606079,0.657073975,-0.198745728,walking
19:31.0,562,232465.4563,0.329071045,0.679443359,-0.187240601,walking
19:31.0,563,232465.4663,0.323623657,0.685577393,-0.194656372,walking
19:31.0,564,232465.4763,0.322143555,0.679855347,-0.200683594,walking
19:31.0,565,232465.4864,0.321807861,0.654022217,-0.19833374,walking
19:31.0,566,232465.4964,0.332824707,0.625106812,-0.198104858,walking
19:31.0,567,232465.5064,0.342132568,0.600997925,-0.19229126,walking
19:31.1,568,232465.5164,0.343200684,0.581253052,-0.19418335,walking
19:31.1,569,232465.5265,0.346908569,0.574813843,-0.205551147,walking
19:31.1,570,232465.5365,0.346389771,0.579391479,-0.20980835,walking
19:31.1,571,232465.5465,0.344299316,0.593505859,-0.213012695,walking
19:31.1,572,232465.5565,0.344146729,0.6171875,-0.222457886,walking
19:31.1,573,232465.5666,0.347640991,0.652359009,-0.230453491,walking
19:31.1,574,232465.5766,0.363677979,0.694335938,-0.240661621,walking
19:31.1,575,232465.5866,0.386734009,0.743499756,-0.265853882,walking
19:31.1,576,232465.5967,0.414810181,0.800506592,-0.309997559,walking
19:31.1,577,232465.6067,0.453826904,0.850875854,-0.369567871,walking
19:31.2,578,232465.6167,0.487808228,0.878158569,-0.395507813,walking
19:31.2,579,232465.6267,0.543075562,0.883285522,-0.414031982,walking
19:31.2,580,232465.6368,0.598342896,0.870773315,-0.39855957,walking
19:31.2,581,232465.6468,0.625732422,0.837173462,-0.340133667,walking
19:31.2,582,232465.6568,0.637939453,0.824630737,-0.291992188,walking
19:31.2,583,232465.6669,0.604705811,0.820892334,-0.232894897,walking
19:31.2,584,232465.6769,0.548049927,0.834823608,-0.196502686,walking
19:31.2,585,232465.6869,0.481323242,0.848556519,-0.179641724,walking
19:31.2,586,232465.6969,0.405151367,0.851211548,-0.138504028,walking
19:31.2,587,232465.707,0.344650269,0.87109375,-0.150817871,walking
19:31.3,588,232465.717,0.301483154,0.883071899,-0.171539307,walking
19:31.3,589,232465.727,0.287521362,0.877868652,-0.15234375,walking
19:31.3,590,232465.737,0.296707153,0.852523804,-0.119171143,walking
19:31.3,591,232465.7471,0.349472046,0.846038818,-0.073074341,walking
19:31.3,592,232465.7571,0.41557312,0.884628296,-0.054718018,walking
19:31.3,593,232465.7671,0.42755127,0.938919067,-0.024353027,walking
19:31.3,594,232465.7772,0.425033569,0.97644043,0.023651123,walking
19:31.3,595,232465.7872,0.437484741,1.033813477,-0.007751465,walking
19:31.3,596,232465.7972,0.444488525,1.128601074,-0.08190918,walking
19:31.3,597,232465.8072,0.429351807,1.192764282,-0.075531006,walking
19:31.4,598,232465.8173,0.396820068,1.202178955,0.005462646,walking
19:31.4,599,232465.8273,0.368682861,1.150634766,0.032730103,walking
19:31.4,600,232465.8373,0.361633301,1.095397949,0.035369873,walking
19:31.4,601,232465.8473,0.392715454,1.036804199,0.031173706,walking
19:31.4,602,232465.8574,0.465377808,0.927612305,-0.026031494,walking
19:31.4,603,232465.8674,0.587921143,0.826644897,-0.119689941,walking
19:31.4,604,232465.8774,0.760848999,0.765090942,-0.141052246,walking
19:31.4,605,232465.8875,0.98147583,0.729995728,-0.087661743,walking
19:31.4,606,232465.8975,1.095535278,0.700805664,-0.015686035,walking
19:31.4,607,232465.9075,1.010604858,0.694000244,0.024932861,walking
19:31.5,608,232465.9175,0.857345581,0.740615845,0.03678894,walking
19:31.5,609,232465.9276,0.722106934,0.805389404,0.031341553,walking
19:31.5,610,232465.9376,0.604827881,0.843292236,0.010009766,walking
19:31.5,611,232465.9476,0.515045166,0.868301392,0.022949219,walking
19:31.5,612,232465.9577,0.429428101,0.880737305,0.047073364,walking
19:31.5,613,232465.9677,0.38760376,0.908416748,0.042861938,walking
19:31.5,614,232465.9777,0.401687622,0.92590332,0.009307861,walking
19:31.5,615,232465.9877,0.432739258,0.912506104,0.020339966,walking
19:31.5,616,232465.9978,0.47744751,0.915710449,0.003341675,walking
19:31.5,617,232466.0078,0.487579346,0.926483154,-0.040130615,walking
