loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
01:21.1,5693,242175.361,-0.145431519,0.987319946,0.057754517
01:21.1,5694,242175.371,-0.146438599,0.987976074,0.0574646
01:21.1,5695,242175.381,-0.146636963,0.987365723,0.056640625
01:21.1,5696,242175.391,-0.146759033,0.987594604,0.05696106
01:21.1,5697,242175.401,-0.145874023,0.988647461,0.057510376
01:21.1,5698,242175.411,-0.146408081,0.98979187,0.056289673
01:21.1,5699,242175.421,-0.147659302,0.989730835,0.055480957
01:21.1,5700,242175.431,-0.14692688,0.987197876,0.055969238
01:21.2,5701,242175.441,-0.145507813,0.98550415,0.055541992
01:21.2,5702,242175.451,-0.145584106,0.985855103,0.055618286
01:21.2,5703,242175.4611,-0.14604187,0.9871521,0.056884766
01:21.2,5704,242175.4711,-0.146148682,0.986633301,0.057876587
01:21.2,5705,242175.4811,-0.147140503,0.984481812,0.05696106
01:21.2,5706,242175.4911,-0.148147583,0.983581543,0.056503296
01:21.2,5707,242175.5011,-0.149459839,0.984054565,0.055892944
01:21.2,5708,242175.5111,-0.149658203,0.98526001,0.055877686
01:21.2,5709,242175.5211,-0.150741577,0.984527588,0.056167603
01:21.2,5710,242175.5311,-0.151504517,0.985015869,0.057617188
01:21.3,5711,242175.5411,-0.151473999,0.985137939,0.058364868
01:21.3,5712,242175.5511,-0.151748657,0.985900879,0.057449341
01:21.3,5713,242175.5611,-0.152053833,0.986038208,0.05708313
01:21.3,5714,242175.5712,-0.151779175,0.987121582,0.057373047
01:21.3,5715,242175.5812,-0.150741577,0.986099243,0.056030273
01:21.3,5716,242175.5912,-0.149932861,0.98576355,0.055114746
01:21.3,5717,242175.6012,-0.147827148,0.986495972,0.055480957
01:21.3,5718,242175.6112,-0.146072388,0.986907959,0.05519104
01:21.3,5719,242175.6212,-0.14465332,0.989608765,0.053878784
01:21.4,5720,242175.6312,-0.143997192,0.990661621,0.053756714
01:21.4,5721,242175.6412,-0.144058228,0.988769531,0.052261353
01:21.4,5722,242175.6512,-0.145797729,0.987960815,0.052886963
01:21.4,5723,242175.6612,-0.145584106,0.987716675,0.05456543
01:21.4,5724,242175.6712,-0.146316528,0.987503052,0.054931641
01:21.4,5725,242175.6813,-0.147476196,0.987426758,0.054138184
01:21.4,5726,242175.6913,-0.148834229,0.987213135,0.054840088
01:21.4,5727,242175.7013,-0.148986816,0.987869263,0.055160522
01:21.4,5728,242175.7113,-0.149230957,0.987457275,0.054000854
01:21.4,5729,242175.7213,-0.146972656,0.986541748,0.054443359
01:21.4,5730,242175.7313,-0.146621704,0.984832764,0.0546875
01:21.5,5731,242175.7413,-0.145843506,0.985076904,0.05368042
01:21.5,5732,242175.7513,-0.146118164,0.987487793,0.052352905
01:21.5,5733,242175.7613,-0.146743774,0.988540649,0.053375244
01:21.5,5734,242175.7713,-0.147994995,0.986999512,0.053359985
01:21.5,5735,242175.7814,-0.148635864,0.987854004,0.054931641
01:21.5,5736,242175.7914,-0.149368286,0.987487793,0.054702759
01:21.5,5737,242175.8014,-0.149002075,0.98651123,0.054351807
01:21.5,5738,242175.8114,-0.149581909,0.986846924,0.053756714
01:21.5,5739,242175.8214,-0.149383545,0.986480713,0.054199219
01:21.5,5740,242175.8314,-0.148300171,0.986206055,0.053710938
01:21.6,5741,242175.8414,-0.146499634,0.986160278,0.054504395
01:21.6,5742,242175.8514,-0.144424438,0.984054565,0.054168701
01:21.6,5743,242175.8614,-0.143920898,0.985488892,0.053619385
01:21.6,5744,242175.8714,-0.143920898,0.988464355,0.052459717
01:21.6,5745,242175.8815,-0.144088745,0.98979187,0.051437378
01:21.6,5746,242175.8915,-0.143981934,0.989471436,0.050369263
01:21.6,5747,242175.9015,-0.144851685,0.988815308,0.053207397
01:21.6,5748,242175.9115,-0.145370483,0.987304688,0.053344727
01:21.6,5749,242175.9215,-0.145294189,0.986404419,0.052444458
01:21.7,5750,242175.9315,-0.145278931,0.985641479,0.051361084
01:21.7,5751,242175.9415,-0.146316528,0.986114502,0.051864624
01:21.7,5752,242175.9515,-0.14604187,0.98878479,0.051467896
01:21.7,5753,242175.9615,-0.145980835,0.990615845,0.05291748
01:21.7,5754,242175.9715,-0.145385742,0.989471436,0.05456543
01:21.7,5755,242175.9815,-0.144607544,0.988021851,0.055099487
01:21.7,5756,242175.9916,-0.14630127,0.986602783,0.054977417
01:21.7,5757,242176.0016,-0.147262573,0.986602783,0.053512573
01:21.7,5758,242176.0116,-0.148269653,0.984832764,0.052276611
01:21.7,5759,242176.0216,-0.147857666,0.983734131,0.050125122
01:21.8,5760,242176.0316,-0.147247314,0.983978271,0.049957275
01:21.8,5761,242176.0416,-0.146392822,0.987014771,0.050140381
01:21.8,5762,242176.0516,-0.146011353,0.988204956,0.050796509
01:21.8,5763,242176.0616,-0.144119263,0.98866272,0.050415039
01:21.8,5764,242176.0716,-0.142547607,0.988235474,0.050735474
01:21.8,5765,242176.0816,-0.142852783,0.987640381,0.051757813
